round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,1.4429050519784075,3.5504845140810968,"{'J': 0.8176039119804401, 'F': 0.1823960880195599}","{'J': 0.3960880195599022, 'F': 0.6039119804400978}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
2,J,F,3.028693072482112,6.4712535745702775,"{'J': 0.6262527499388902, 'F': 0.37374725006110976}","{'J': 0.35925654194179507, 'F': 0.640743458058205}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
3,J,F,4.614295272839234,9.577539280241403,"{'J': 0.6891660552702372, 'F': 0.3108339447297628}","{'J': 0.3850293542074364, 'F': 0.6149706457925636}",5.6,6.0,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,5.0
4,J,F,5.85216895017656,12.571773035856616,"{'J': 0.5963796477495108, 'F': 0.40362035225048926}","{'J': 0.24510763209393346, 'F': 0.7548923679060665}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
5,J,F,7.3861326107017575,15.47315352612741,"{'J': 0.6115459882583171, 'F': 0.388454011741683}","{'J': 0.33806262230919765, 'F': 0.6619373776908023}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
6,J,F,8.988225886142473,18.21611253891222,"{'J': 0.5698214722426022, 'F': 0.4301785277573979}","{'J': 0.3416483247737833, 'F': 0.6583516752262166}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
7,J,F,10.591907771179638,20.899665618335774,"{'J': 0.5506112469437653, 'F': 0.4493887530562347}","{'J': 0.3346370080664874, 'F': 0.6653629919335126}",6.0,6.0,4.0,6.0,7.0,8.0,5.0,4.0,6.0,7.0,8.0,5.0
8,J,F,12.242263211309643,23.455037386657292,"{'J': 0.5156402737047898, 'F': 0.4843597262952102}","{'J': 0.3346370080664874, 'F': 0.6653629919335126}",6.0,5.6,4.0,6.0,7.0,8.0,5.0,4.0,6.0,6.0,8.0,4.0
9,J,F,13.987850767889537,26.004632763374037,"{'J': 0.5273704789833822, 'F': 0.4726295210166178}","{'J': 0.36656891495601174, 'F': 0.6334310850439883}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
10,J,F,15.669833620620244,28.558249564726943,"{'J': 0.5195503421309873, 'F': 0.4804496578690127}","{'J': 0.3452235524065478, 'F': 0.6547764475934522}",5.6,5.8,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,4.0
