round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,0.7621181339534736,4.040577872303303,"{'J': 0.8500244259892525, 'F': 0.14997557401074743}","{'J': 0.19433247831928668, 'F': 0.8056675216807133}",6.0,3.4,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,6.0,2.0
2,J,F,2.0276600091375343,6.901016551488606,"{'J': 0.5583781143136297, 'F': 0.4416218856863703}","{'J': 0.2393987535133814, 'F': 0.7606012464866186}",6.0,3.8,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,8.0,2.0
3,J,F,3.3001680146127716,9.995034787592413,"{'J': 0.6333822809593734, 'F': 0.3666177190406265}","{'J': 0.2690802348336595, 'F': 0.7309197651663405}",5.4,5.2,4.0,5.0,6.0,8.0,4.0,4.0,5.0,6.0,8.0,3.0
4,J,F,4.554168135279161,13.040930188948536,"{'J': 0.615158924205379, 'F': 0.384841075794621}","{'J': 0.2567798680674322, 'F': 0.7432201319325678}",5.8,3.4,4.0,6.0,7.0,8.0,4.0,2.0,3.0,4.0,6.0,2.0
5,J,F,5.7025147276129395,16.18391669623822,"{'J': 0.6298288508557457, 'F': 0.37017114914425425}","{'J': 0.23090086786456424, 'F': 0.7690991321354358}",6.0,5.4,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,4.0
6,J,F,6.981723437864555,19.205989331926116,"{'J': 0.6113964294448521, 'F': 0.38860357055514794}","{'J': 0.2628236443575965, 'F': 0.7371763556424035}",6.0,3.8,4.0,6.0,7.0,8.0,5.0,2.0,4.0,3.0,8.0,2.0
7,J,F,8.244013936820075,22.177024022318264,"{'J': 0.5926650366748166, 'F': 0.4073349633251834}","{'J': 0.25091619838749085, 'F': 0.7490838016125092}",5.8,5.2,4.0,6.0,7.0,8.0,4.0,4.0,5.0,6.0,8.0,3.0
8,J,F,9.461478382660175,25.034194269262926,"{'J': 0.5506112469437653, 'F': 0.4493887530562347}","{'J': 0.2226700867228533, 'F': 0.7773299132771467}",5.8,5.4,4.0,6.0,7.0,8.0,4.0,4.0,5.0,6.0,8.0,4.0
9,J,F,10.800145429538723,27.7502415511898,"{'J': 0.5234604105571847, 'F': 0.47653958944281527}","{'J': 0.24798436354752015, 'F': 0.7520156364524798}",6.0,5.4,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,4.0
10,J,F,12.03182868629232,30.637876521034364,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.23088199364769119, 'F': 0.7691180063523089}",4.6,3.8,2.0,4.0,6.0,8.0,3.0,2.0,3.0,4.0,8.0,2.0
