round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,3.675703183349901,7.222083551781597,"{'J': 0.7186506966511855, 'F': 0.2813493033488145}","{'J': 0.212024929732372, 'F': 0.787975070267628}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
2,J,F,8.869938537191473,13.629113803497544,"{'J': 0.5545232273838631, 'F': 0.44547677261613694}","{'J': 0.38126681340180973, 'F': 0.6187331865981903}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
3,J,F,13.751100650823311,19.95910678962946,"{'J': 0.5311812179016875, 'F': 0.46881878209831257}","{'J': 0.32420537897310514, 'F': 0.6757946210268949}",6.0,5.6,6.0,4.0,7.0,8.0,5.0,6.0,4.0,6.0,8.0,4.0
4,J,F,18.63257101258951,26.288452078891286,"{'J': 0.5310513447432763, 'F': 0.4689486552567237}","{'J': 0.3242120693867579, 'F': 0.6757879306132422}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
5,J,F,23.5929951928733,32.62607310339613,"{'J': 0.5349633251833741, 'F': 0.4650366748166259}","{'J': 0.33822091886608013, 'F': 0.6617790811339198}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
6,J,F,28.685858470184876,39.00488771164526,"{'J': 0.5466992665036675, 'F': 0.45330073349633254}","{'J': 0.3629919335125886, 'F': 0.6370080664874114}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
7,J,F,33.837157961317125,45.338882952787245,"{'J': 0.5391006842619745, 'F': 0.4608993157380254}","{'J': 0.37014414854629857, 'F': 0.6298558514537015}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
8,J,F,38.86978340905626,51.64849380120877,"{'J': 0.531081742535487, 'F': 0.468918257464513}","{'J': 0.3486552567237164, 'F': 0.6513447432762837}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
9,J,F,43.850628771952735,58.09628661361457,"{'J': 0.5582191780821918, 'F': 0.4417808219178082}","{'J': 0.3486552567237164, 'F': 0.6513447432762837}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
10,J,F,48.94810786401938,64.72726203819956,"{'J': 0.5965770171149144, 'F': 0.4034229828850856}","{'J': 0.37750611246943766, 'F': 0.6224938875305623}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
