round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.259828348952096,7.231951186285125,"{'J': 0.7155425219941349, 'F': 0.2844574780058651}","{'J': 0.29095354523227385, 'F': 0.7090464547677262}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
2,J,F,9.861650211094254,13.808326510624493,"{'J': 0.592610716907267, 'F': 0.40738928309273303}","{'J': 0.45338879373623686, 'F': 0.5466112062637631}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
3,J,F,15.414438610147853,20.720332322107915,"{'J': 0.6513447432762837, 'F': 0.3486552567237164}","{'J': 0.45717082721488006, 'F': 0.5428291727851199}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
4,J,F,20.927263682386126,27.572773366354305,"{'J': 0.6407624633431085, 'F': 0.3592375366568915}","{'J': 0.4493887530562347, 'F': 0.5506112469437653}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
5,J,F,26.32433539985982,34.36631966232015,"{'J': 0.6296748961134196, 'F': 0.3703251038865803}","{'J': 0.4301785277573979, 'F': 0.5698214722426022}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,31.81348271390995,40.992303601028325,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.43779027132730386, 'F': 0.5622097286726961}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
7,J,F,37.19621117679575,47.644958714280875,"{'J': 0.6039119804400978, 'F': 0.3960880195599022}","{'J': 0.42249388753056233, 'F': 0.5775061124694376}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
8,J,F,42.68703631533509,54.47759314377376,"{'J': 0.637163814180929, 'F': 0.3628361858190709}","{'J': 0.44547677261613694, 'F': 0.5545232273838631}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,J,F,48.03019504934535,61.09207918162171,"{'J': 0.5964311904179908, 'F': 0.4035688095820093}","{'J': 0.41481300415546324, 'F': 0.5851869958445368}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
10,J,F,53.4115612651307,67.94739990951271,"{'J': 0.640743458058205, 'F': 0.35925654194179507}","{'J': 0.4301785277573979, 'F': 0.5698214722426022}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
