round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,7.908779879732221,9.078462773179174,"{'J': 0.9390187987161852, 'F': 0.06098120128381476}","{'J': 0.7719212425094778, 'F': 0.2280787574905222}",5.0,8.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,9.0,7.0
2,J,J,14.789559682965827,17.07193930851194,"{'J': 0.8104607112306, 'F': 0.1895392887694}","{'J': 0.6515040352164343, 'F': 0.34849596478356565}",6.8,8.4,6.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
3,J,J,21.204515878119903,24.629114829369986,"{'J': 0.7519569471624267, 'F': 0.24804305283757339}","{'J': 0.588782757776145, 'F': 0.41121724222385503}",7.6,8.4,7.0,8.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0
4,J,J,27.603084566668336,32.02888183017889,"{'J': 0.7280723185927193, 'F': 0.27192768140728074}","{'J': 0.5850439882697948, 'F': 0.4149560117302053}",8.0,8.4,8.0,9.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0
5,J,J,33.97506820469485,39.406473564769186,"{'J': 0.7248716067498165, 'F': 0.2751283932501834}","{'J': 0.5812133072407045, 'F': 0.4187866927592955}",6.8,8.4,6.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
6,J,J,40.085070961134775,46.37701259613193,"{'J': 0.6619408457589832, 'F': 0.33805915424101685}","{'J': 0.5390070921985816, 'F': 0.46099290780141844}",5.0,8.4,5.0,5.0,5.0,5.0,5.0,8.0,9.0,8.0,9.0,8.0
7,J,J,46.05540989442868,53.01954462537733,"{'J': 0.6077807682896991, 'F': 0.39221923171030093}","{'J': 0.5117531831537708, 'F': 0.48824681684622917}",7.8,8.4,8.0,8.0,8.0,9.0,6.0,8.0,9.0,8.0,9.0,8.0
8,J,J,52.184407390381075,59.83548758237469,"{'J': 0.6371421580621482, 'F': 0.3628578419378517}","{'J': 0.5390070921985816, 'F': 0.46099290780141844}",6.8,8.4,6.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
9,J,J,58.36057543291036,66.69388106467576,"{'J': 0.6441176470588236, 'F': 0.3558823529411765}","{'J': 0.5466568699485672, 'F': 0.4533431300514328}",6.8,8.4,6.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
10,J,J,64.5644487011707,73.55282537654217,"{'J': 0.6442920137187653, 'F': 0.3557079862812347}","{'J': 0.5507104360607545, 'F': 0.44928956393924546}",6.8,8.4,6.0,8.0,7.0,8.0,5.0,8.0,9.0,8.0,9.0,8.0
