round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,7.374329039111685,7.8067708204022725,"{'J': 0.7772883015173764, 'F': 0.2227116984826236}","{'J': 0.7155109041901495, 'F': 0.28448909580985055}",4.2,4.6,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,4.0
2,J,J,13.731842588162943,14.70813973226809,"{'J': 0.6513559736134864, 'F': 0.34864402638651354}","{'J': 0.5736623503542634, 'F': 0.4263376496457366}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
3,J,J,20.0325356736163,21.654837383931497,"{'J': 0.6583333333333333, 'F': 0.3416666666666667}","{'J': 0.5660469667318982, 'F': 0.43395303326810175}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
4,J,J,26.282538513844212,28.580288755940963,"{'J': 0.6549278552213255, 'F': 0.3450721447786745}","{'J': 0.5584352078239608, 'F': 0.4415647921760391}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
5,J,J,32.25192108514711,35.06441899173856,"{'J': 0.5813555174944948, 'F': 0.41864448250550523}","{'J': 0.5078201368523949, 'F': 0.4921798631476051}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
6,J,J,38.53021909600654,41.713161492519454,"{'J': 0.6113558492413118, 'F': 0.3886441507586882}","{'J': 0.5584352078239608, 'F': 0.4415647921760391}",4.2,6.0,4.0,3.0,4.0,8.0,2.0,6.0,4.0,6.0,8.0,6.0
7,J,J,44.8177256374597,48.26677308866043,"{'J': 0.5963707699852869, 'F': 0.40362923001471307}","{'J': 0.5583557621727429, 'F': 0.44164423782725715}",4.2,5.4,4.0,3.0,4.0,8.0,2.0,4.0,6.0,5.0,8.0,4.0
8,J,J,51.26355225988179,55.05122224702008,"{'J': 0.6335616438356164, 'F': 0.3664383561643836}","{'J': 0.5851869958445368, 'F': 0.41481300415546324}",4.2,5.0,4.0,3.0,4.0,8.0,2.0,4.0,5.0,4.0,8.0,4.0
9,J,J,57.441169656076376,61.47145323815744,"{'J': 0.5736661771904062, 'F': 0.42633382280959375}","{'J': 0.5390070921985816, 'F': 0.46099290780141844}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,4.0,5.0,5.0,8.0,4.0
10,J,J,63.67244106768405,68.07621961697066,"{'J': 0.6039676708302718, 'F': 0.39603232916972814}","{'J': 0.5506112469437653, 'F': 0.4493887530562347}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,4.0,5.0,5.0,8.0,4.0
