round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,3.0369980689286713,7.642092750458222,"{'J': 0.8266764382557713, 'F': 0.17332356174422867}","{'J': 0.16880576946583548, 'F': 0.8311942305341645}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,6.0,5.0,7.0,8.0,4.0
2,F,F,8.366103945727074,13.694935000436157,"{'J': 0.48826979472140764, 'F': 0.5117302052785924}","{'J': 0.38487888426718864, 'F': 0.6151211157328114}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
3,J,F,13.981779100375238,20.20687483008728,"{'J': 0.5813385442110406, 'F': 0.41866145578895947}","{'J': 0.45330073349633254, 'F': 0.5466992665036675}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
4,J,F,19.249111412638808,26.52527486856584,"{'J': 0.5388373229115779, 'F': 0.46116267708842207}","{'J': 0.3886847905951506, 'F': 0.6113152094048494}",7.0,6.0,6.0,7.0,8.0,9.0,5.0,6.0,5.0,7.0,8.0,4.0
5,J,F,24.695018867708786,33.02933589088757,"{'J': 0.5774303859306302, 'F': 0.4225696140693698}","{'J': 0.42626559060895086, 'F': 0.5737344093910491}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
6,J,F,30.38235440463814,39.55672262198911,"{'J': 0.5850439882697948, 'F': 0.4149560117302053}","{'J': 0.4650366748166259, 'F': 0.5349633251833741}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
7,J,F,35.814855806990934,46.02108705990241,"{'J': 0.5698924731182796, 'F': 0.43010752688172044}","{'J': 0.4224834680382072, 'F': 0.5775165319617928}",6.0,5.6,6.0,5.0,7.0,8.0,4.0,6.0,4.0,7.0,8.0,3.0
8,J,F,41.59859919588408,52.8452026393236,"{'J': 0.6370080664874114, 'F': 0.3629919335125886}","{'J': 0.4883834678405478, 'F': 0.5116165321594522}",6.0,5.6,6.0,5.0,7.0,8.0,4.0,6.0,4.0,7.0,8.0,3.0
9,J,F,47.2660592410412,59.46041335216303,"{'J': 0.6001955034213099, 'F': 0.3998044965786901}","{'J': 0.4648025508952661, 'F': 0.5351974491047339}",6.0,5.6,6.0,5.0,7.0,8.0,4.0,6.0,4.0,7.0,8.0,3.0
10,J,F,52.925833134384604,65.882210670093,"{'J': 0.5659824046920822, 'F': 0.4340175953079179}","{'J': 0.4571219154654288, 'F': 0.5428780845345712}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,7.0,8.0,3.0
