round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,3.6689488335373754,7.037316571506897,"{'J': 0.6756228627259404, 'F': 0.3243771372740596}","{'J': 0.19442747158743737, 'F': 0.8055725284125627}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,6.0,4.0,5.0,8.0,3.0
2,J,F,9.380260225768264,13.562899713493408,"{'J': 0.5850439882697948, 'F': 0.4149560117302053}","{'J': 0.4687194525904203, 'F': 0.5312805474095796}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,4.0,5.0,6.0,8.0,3.0
3,J,F,15.009559149758225,20.2433207827537,"{'J': 0.6112469437652812, 'F': 0.38875305623471884}","{'J': 0.461086637298091, 'F': 0.5389133627019089}",5.2,5.8,4.0,5.0,6.0,8.0,3.0,6.0,5.0,6.0,8.0,4.0
4,J,F,20.569533103373416,26.885899924957034,"{'J': 0.6039119804400978, 'F': 0.3960880195599022}","{'J': 0.44925409635607727, 'F': 0.5507459036439227}",6.0,5.8,4.0,6.0,7.0,8.0,5.0,6.0,5.0,6.0,8.0,4.0
5,J,J,26.479051093489232,33.74984790354776,"{'J': 0.6441672780630961, 'F': 0.3558327219369039}","{'J': 0.5078201368523949, 'F': 0.4921798631476051}",5.2,5.4,4.0,6.0,5.0,8.0,3.0,4.0,6.0,5.0,8.0,4.0
6,J,J,32.51615762475775,41.07180274571779,"{'J': 0.7185130838835901, 'F': 0.28148691611640986}","{'J': 0.5349633251833741, 'F': 0.4650366748166259}",5.4,5.4,4.0,6.0,5.0,8.0,4.0,4.0,5.0,6.0,8.0,4.0
7,J,J,38.485217369562534,48.271217447682915,"{'J': 0.6991432068543452, 'F': 0.30085679314565483}","{'J': 0.5233782129742962, 'F': 0.4766217870257038}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
8,J,F,44.17672435718372,55.4446675074412,"{'J': 0.6960352422907489, 'F': 0.3039647577092511}","{'J': 0.4843290891283056, 'F': 0.5156709108716944}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
9,J,F,49.94268961287249,62.84887597330859,"{'J': 0.7340347443112307, 'F': 0.2659652556887693}","{'J': 0.5, 'F': 0.5}",5.2,5.4,4.0,6.0,5.0,8.0,3.0,4.0,5.0,6.0,8.0,4.0
10,J,F,55.6612025173294,70.19541529009125,"{'J': 0.7248716067498165, 'F': 0.2751283932501834}","{'J': 0.49229640498899485, 'F': 0.5077035950110051}",5.4,5.2,4.0,6.0,5.0,8.0,4.0,4.0,5.0,6.0,8.0,3.0
