round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,3.3799758298098057,7.02228629153819,"{'J': 0.67236328125, 'F': 0.32763671875}","{'J': 0.15203321528880206, 'F': 0.8479667847111979}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
2,F,F,8.613409593703691,12.255903951904571,"{'J': 0.2975085490962384, 'F': 0.7024914509037616}","{'J': 0.29748227817159617, 'F': 0.7025177218284038}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
3,F,F,14.242479598745247,17.831868865357883,"{'J': 0.4072265625, 'F': 0.5927734375}","{'J': 0.41481300415546324, 'F': 0.5851869958445368}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
4,F,F,19.886271993364126,23.291607787962732,"{'J': 0.3849535906204201, 'F': 0.6150464093795799}","{'J': 0.41124694376528115, 'F': 0.5887530562347189}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
5,F,F,25.699367522315995,29.32275853313742,"{'J': 0.5, 'F': 0.5}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
6,J,F,31.62381995999928,35.49335817878747,"{'J': 0.52734375, 'F': 0.47265625}","{'J': 0.4921798631476051, 'F': 0.5078201368523949}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
7,F,F,37.37797089880721,41.38308438570079,"{'J': 0.4725274725274725, 'F': 0.5274725274725275}","{'J': 0.4531595770838456, 'F': 0.5468404229161544}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,4.0,5.0,6.0,8.0,3.0
8,F,F,43.064623622305014,47.286977659394,"{'J': 0.47265625, 'F': 0.52734375}","{'J': 0.4416218856863703, 'F': 0.5583781143136297}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
9,F,F,48.99201427087213,53.186565391922905,"{'J': 0.48034188034188036, 'F': 0.5196581196581197}","{'J': 0.4843137254901961, 'F': 0.515686274509804}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
10,F,F,54.73198292487502,59.14317250119505,"{'J': 0.48424908424908425, 'F': 0.5157509157509158}","{'J': 0.45330073349633254, 'F': 0.5466992665036675}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
