round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.720667817331584,6.887243951274929,"{'J': 0.6441507586882036, 'F': 0.3558492413117964}","{'J': 0.33463988241058307, 'F': 0.6653601175894169}",6.4,5.8,6.0,7.0,6.0,8.0,5.0,6.0,5.0,6.0,8.0,4.0
2,J,F,10.524852968180848,12.96313966651529,"{'J': 0.5077035950110051, 'F': 0.49229640498899485}","{'J': 0.4688878000979912, 'F': 0.5311121999020089}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
3,J,F,16.409557015182084,19.09363693481281,"{'J': 0.5194424064563463, 'F': 0.4805575935436537}","{'J': 0.4843290891283056, 'F': 0.5156709108716944}",6.4,5.8,6.0,7.0,6.0,8.0,5.0,6.0,5.0,6.0,8.0,4.0
4,J,F,22.137934472048162,25.204512438856213,"{'J': 0.5118552921046199, 'F': 0.4881447078953801}","{'J': 0.4572127139364303, 'F': 0.5427872860635696}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
5,J,F,27.946841734038372,31.259011819989226,"{'J': 0.5040332437056955, 'F': 0.4959667562943046}","{'J': 0.4689486552567237, 'F': 0.5310513447432763}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
6,J,F,33.76516180863681,37.37691614501564,"{'J': 0.5155294693078992, 'F': 0.4844705306921008}","{'J': 0.4727317192467596, 'F': 0.5272682807532404}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
7,J,F,39.6977733272856,43.501121016548105,"{'J': 0.5195503421309873, 'F': 0.4804496578690127}","{'J': 0.4921798631476051, 'F': 0.5078201368523949}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
8,J,F,45.62320683175609,49.53603643695212,"{'J': 0.5039100684261975, 'F': 0.49608993157380255}","{'J': 0.48826979472140764, 'F': 0.5117302052785924}",5.6,6.0,6.0,4.0,7.0,8.0,3.0,6.0,5.0,7.0,8.0,4.0
9,J,J,51.681821290883214,55.757296119510016,"{'J': 0.5388753056234719, 'F': 0.46112469437652814}","{'J': 0.5156402737047898, 'F': 0.4843597262952102}",7.0,6.0,6.0,7.0,8.0,8.0,6.0,6.0,5.0,7.0,8.0,4.0
10,J,J,57.684182725485684,62.35197841495866,"{'J': 0.6001467351430667, 'F': 0.39985326485693323}","{'J': 0.5155294693078992, 'F': 0.4844705306921008}",6.4,6.0,6.0,7.0,6.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
