round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.369206138042825,6.593236919205417,"{'J': 0.5774303859306302, 'F': 0.4225696140693698}","{'J': 0.25971170290740286, 'F': 0.7402882970925971}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
2,J,F,9.623185718703787,12.95403722827569,"{'J': 0.5467871976545321, 'F': 0.45321280234546785}","{'J': 0.38866995073891625, 'F': 0.6113300492610837}",5.2,5.6,4.0,5.0,6.0,8.0,3.0,6.0,4.0,7.0,8.0,3.0
3,F,F,14.577171917179733,19.021495720137587,"{'J': 0.47653958944281527, 'F': 0.5234604105571847}","{'J': 0.3174721189591078, 'F': 0.6825278810408922}",4.2,5.2,4.0,3.0,4.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
4,J,F,20.247378244532626,26.01385761796425,"{'J': 0.6653629919335126, 'F': 0.3346370080664874}","{'J': 0.4764836247229746, 'F': 0.5235163752770253}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
5,J,F,25.68632480414745,32.64341333885752,"{'J': 0.600293542074364, 'F': 0.399706457925636}","{'J': 0.43020651903458573, 'F': 0.5697934809654143}",5.2,5.6,4.0,5.0,6.0,8.0,3.0,6.0,4.0,7.0,8.0,3.0
6,J,F,31.099724250586455,39.27424346392576,"{'J': 0.6002447980416157, 'F': 0.3997552019583843}","{'J': 0.4263261296660118, 'F': 0.5736738703339882}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
7,J,F,36.74366772449321,46.26662356852128,"{'J': 0.6653610771113831, 'F': 0.3346389228886169}","{'J': 0.4727272727272727, 'F': 0.5272727272727272}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
8,J,F,42.314265638909575,53.096174720505076,"{'J': 0.636986301369863, 'F': 0.363013698630137}","{'J': 0.4571358388602309, 'F': 0.5428641611397691}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
9,J,F,47.920880793469934,59.75719733358248,"{'J': 0.6076320939334638, 'F': 0.3923679060665362}","{'J': 0.457002457002457, 'F': 0.542997542997543}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
10,J,F,53.53152260689732,66.5236451244719,"{'J': 0.6261636452719255, 'F': 0.37383635472807447}","{'J': 0.4610485056344929, 'F': 0.5389514943655072}",5.2,5.2,4.0,6.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
