round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,J,6.669960347730969,8.251885221913575,"{'J': 0.8519696598972352, 'F': 0.14803034010276486}","{'J': 0.6259803921568627, 'F': 0.37401960784313726}",7.2,7.2,6.0,8.0,7.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0
2,J,J,12.608171958891415,15.285750244440937,"{'J': 0.6722235842118166, 'F': 0.3277764157881834}","{'J': 0.5157016683022572, 'F': 0.4842983316977429}",7.2,7.0,6.0,8.0,7.0,9.0,6.0,6.0,8.0,7.0,8.0,6.0
3,J,F,18.291705527489434,22.21670649345133,"{'J': 0.6548846342660776, 'F': 0.34511536573392243}","{'J': 0.47668139420716743, 'F': 0.5233186057928326}",6.4,7.2,6.0,7.0,6.0,8.0,5.0,7.0,8.0,7.0,8.0,6.0
4,J,J,25.14414735680672,30.19102894060082,"{'J': 0.8081352609654496, 'F': 0.19186473903455037}","{'J': 0.6478666012751348, 'F': 0.35213339872486515}",7.2,7.8,6.0,7.0,8.0,9.0,6.0,7.0,8.0,8.0,9.0,7.0
5,J,J,32.05185260464995,38.15364501943782,"{'J': 0.8055861815509004, 'F': 0.1944138184490996}","{'J': 0.6548846342660776, 'F': 0.34511536573392243}",7.2,6.6,6.0,7.0,8.0,9.0,6.0,6.0,7.0,6.0,8.0,6.0
6,J,J,38.57247656563177,45.85029939826953,"{'J': 0.7718523967144784, 'F': 0.22814760328552164}","{'J': 0.6038480513073508, 'F': 0.39615194869264925}",7.6,7.0,8.0,7.0,8.0,9.0,6.0,6.0,7.0,8.0,8.0,6.0
7,J,J,45.371974466337306,53.662186021940336,"{'J': 0.7852941176470588, 'F': 0.21470588235294116}","{'J': 0.6406671572234486, 'F': 0.35933284277655136}",6.6,7.2,6.0,7.0,6.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0
8,J,J,52.27912865639047,61.65868982341322,"{'J': 0.8104799216454457, 'F': 0.18952007835455437}","{'J': 0.6548585485854859, 'F': 0.34514145141451413}",7.6,7.2,8.0,7.0,8.0,9.0,6.0,7.0,8.0,7.0,8.0,6.0
9,J,J,59.29733824231869,69.74918658278752,"{'J': 0.8221460068593827, 'F': 0.17785399314061734}","{'J': 0.6689621249385145, 'F': 0.33103787506148546}",8.4,7.0,8.0,9.0,8.0,9.0,8.0,6.0,7.0,8.0,8.0,6.0
10,J,J,66.03550810223823,77.75987711571338,"{'J': 0.8152772677194271, 'F': 0.1847227322805729}","{'J': 0.6334886001470948, 'F': 0.36651139985290515}",7.0,7.2,6.0,7.0,8.0,8.0,6.0,7.0,8.0,7.0,8.0,6.0
