round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.4836309523809526,6.316937576312577,"{'J': 0.515625, 'F': 0.484375}","{'J': 0.2537240537240537, 'F': 0.7462759462759463}",4.4,5.6,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
2,J,F,10.211513870268769,12.42782446828717,"{'J': 0.5118437118437118, 'F': 0.48815628815628814}","{'J': 0.45712885840274375, 'F': 0.5428711415972562}",4.4,5.6,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
3,F,F,15.953310265974292,18.27825104037306,"{'J': 0.46484375, 'F': 0.53515625}","{'J': 0.4493251533742331, 'F': 0.5506748466257668}",4.4,5.6,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
4,J,J,22.164462794307436,24.836547662986863,"{'J': 0.5963369963369963, 'F': 0.40366300366300367}","{'J': 0.5467449828683308, 'F': 0.4532550171316691}",4.4,5.6,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,3.0
5,J,F,28.02359777042981,31.104681200093314,"{'J': 0.5427454811919883, 'F': 0.4572545188080117}","{'J': 0.4843171153371203, 'F': 0.5156828846628797}",4.6,4.6,4.0,3.0,6.0,8.0,2.0,4.0,3.0,6.0,8.0,2.0
6,J,F,33.901396856349535,37.6852233276863,"{'J': 0.5964826575476306, 'F': 0.4035173424523693}","{'J': 0.4960907944514502, 'F': 0.5039092055485498}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
7,J,J,39.848953225459155,44.30604499413701,"{'J': 0.6039579770339604, 'F': 0.3960420229660396}","{'J': 0.5077772202709483, 'F': 0.4922227797290517}",4.4,6.0,4.0,3.0,5.0,8.0,2.0,6.0,4.0,7.0,8.0,5.0
8,J,J,45.82893759261287,50.72005847949542,"{'J': 0.5697532372343025, 'F': 0.4302467627656975}","{'J': 0.5077490774907749, 'F': 0.4922509225092251}",5.2,6.0,4.0,5.0,6.0,8.0,3.0,6.0,4.0,7.0,8.0,5.0
9,J,F,51.42666731503577,56.99852497880909,"{'J': 0.5389689714146103, 'F': 0.4610310285853897}","{'J': 0.44172086043021513, 'F': 0.5582791395697849}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
10,J,J,57.47222723449276,63.47616430486468,"{'J': 0.5812759716450746, 'F': 0.41872402835492545}","{'J': 0.5195503421309873, 'F': 0.4804496578690127}",4.4,4.6,4.0,3.0,5.0,8.0,2.0,4.0,3.0,6.0,8.0,2.0
