round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.482918515019676,7.484872825874851,"{'J': 0.7634895387250703, 'F': 0.23651046127492964}","{'J': 0.3346389228886169, 'F': 0.6653610771113831}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
2,J,F,9.882047774356925,14.833651241295927,"{'J': 0.727896154788146, 'F': 0.27210384521185405}","{'J': 0.4493748467761706, 'F': 0.5506251532238293}",4.4,5.2,4.0,3.0,5.0,8.0,2.0,6.0,4.0,5.0,8.0,3.0
3,J,J,15.616813735206746,22.610830297494747,"{'J': 0.7956910270534949, 'F': 0.20430897294650507}","{'J': 0.5039177277179236, 'F': 0.4960822722820764}",5.6,5.2,6.0,4.0,6.0,8.0,4.0,6.0,4.0,5.0,8.0,3.0
4,J,J,21.50534621315382,30.610687992543678,"{'J': 0.8288861689106487, 'F': 0.1711138310893513}","{'J': 0.5272682807532404, 'F': 0.4727317192467596}",5.2,4.2,6.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
5,J,J,27.502347343104756,38.49240434585502,"{'J': 0.8081203375321022, 'F': 0.19187966246789775}","{'J': 0.5388753056234719, 'F': 0.46112469437652814}",4.2,4.2,4.0,3.0,4.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,33.24745497519869,46.02175855329142,"{'J': 0.7548923679060665, 'F': 0.24510763209393346}","{'J': 0.5, 'F': 0.5}",5.2,4.2,6.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
7,J,F,38.86444198218699,53.593536545483786,"{'J': 0.7634895387250703, 'F': 0.23651046127492964}","{'J': 0.48423368369591785, 'F': 0.5157663163040821}",5.2,4.2,6.0,4.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,2.0
8,J,F,44.57792501807169,60.95851986766349,"{'J': 0.7279843444227005, 'F': 0.2720156555772994}","{'J': 0.4920557320948423, 'F': 0.5079442679051577}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
9,J,F,50.28593169477128,68.35956427508964,"{'J': 0.7340347443112307, 'F': 0.2659652556887693}","{'J': 0.49217221135029354, 'F': 0.5078277886497065}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
10,J,J,56.21759691267799,76.0415639452255,"{'J': 0.777316059643119, 'F': 0.22268394035688097}","{'J': 0.5272682807532404, 'F': 0.4727317192467596}",6.0,5.6,6.0,4.0,7.0,8.0,5.0,6.0,4.0,6.0,8.0,4.0
