round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,F,4.020659604447005,6.262712991696916,"{'J': 0.4805575935436537, 'F': 0.5194424064563463}","{'J': 0.16026425250795204, 'F': 0.8397357474920479}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
2,F,F,9.318189259469314,12.16886155181692,"{'J': 0.45717082721488006, 'F': 0.5428291727851199}","{'J': 0.3702252693437806, 'F': 0.6297747306562194}",5.2,4.4,4.0,6.0,5.0,8.0,3.0,4.0,3.0,4.0,8.0,3.0
3,J,F,14.672047252343182,18.497480872539974,"{'J': 0.5428291727851199, 'F': 0.45717082721488006}","{'J': 0.40357755452095073, 'F': 0.5964224454790492}",4.4,5.8,4.0,3.0,5.0,8.0,2.0,6.0,5.0,6.0,8.0,4.0
4,F,F,20.060952037733227,24.559364833193975,"{'J': 0.49217221135029354, 'F': 0.5078277886497065}","{'J': 0.39603232916972814, 'F': 0.6039676708302718}",5.2,5.0,4.0,5.0,6.0,8.0,3.0,6.0,4.0,5.0,7.0,3.0
5,F,F,25.30202684964354,30.570817405369873,"{'J': 0.4765166340508806, 'F': 0.5234833659491194}","{'J': 0.3664626682986536, 'F': 0.6335373317013464}",4.4,5.0,4.0,3.0,5.0,8.0,2.0,6.0,4.0,5.0,7.0,3.0
6,F,F,30.55048298294432,36.506418989458126,"{'J': 0.461086637298091, 'F': 0.5389133627019089}","{'J': 0.36292300147130946, 'F': 0.6370769985286905}",5.2,5.8,4.0,5.0,6.0,8.0,3.0,6.0,5.0,6.0,8.0,4.0
7,F,F,35.74955138206175,42.63990758960522,"{'J': 0.5, 'F': 0.5}","{'J': 0.36651139985290515, 'F': 0.6334886001470948}",5.6,6.0,6.0,4.0,7.0,8.0,3.0,6.0,5.0,7.0,8.0,4.0
8,J,F,41.016748264574886,48.82019996794234,"{'J': 0.5116279069767442, 'F': 0.4883720930232558}","{'J': 0.3811856932876041, 'F': 0.6188143067123959}",4.4,5.8,4.0,3.0,5.0,8.0,2.0,6.0,5.0,6.0,8.0,4.0
9,F,F,46.14434868727113,54.92859755148666,"{'J': 0.49228886168910646, 'F': 0.5077111383108935}","{'J': 0.3521749815679528, 'F': 0.6478250184320472}",5.6,5.2,6.0,4.0,7.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
10,F,F,51.25135018804452,61.040060163445695,"{'J': 0.49217221135029354, 'F': 0.5078277886497065}","{'J': 0.3486777668952008, 'F': 0.6513222331047992}",4.4,5.8,4.0,3.0,5.0,8.0,2.0,6.0,5.0,6.0,8.0,4.0
