round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,5.269057419533966,6.4592328462188515,"{'J': 0.5660841742554763, 'F': 0.43391582574452375}","{'J': 0.3960591133004926, 'F': 0.6039408866995074}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
2,F,F,10.90658728522827,12.477978341910491,"{'J': 0.4922813036020583, 'F': 0.5077186963979416}","{'J': 0.43782192788815305, 'F': 0.5621780721118469}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
3,J,F,16.667875936183297,18.75920711632932,"{'J': 0.5430041656456751, 'F': 0.45699583435432495}","{'J': 0.4687270051508462, 'F': 0.5312729948491538}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
4,J,F,22.064493623031066,24.940108779923687,"{'J': 0.5155751778268335, 'F': 0.48442482217316657}","{'J': 0.40353460972017674, 'F': 0.5964653902798233}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
5,J,F,27.49026276469701,31.096217666185755,"{'J': 0.5116507235712534, 'F': 0.48834927642874665}","{'J': 0.4073164743432359, 'F': 0.5926835256567641}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
6,J,F,32.96270750238942,37.24517441844643,"{'J': 0.5116507235712534, 'F': 0.48834927642874665}","{'J': 0.4150061500615006, 'F': 0.5849938499384993}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
7,J,F,38.48122650279083,43.470850295340774,"{'J': 0.5273485405935737, 'F': 0.4726514594064263}","{'J': 0.4263261296660118, 'F': 0.5736738703339882}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
8,J,F,43.920085535628154,49.5840883566228,"{'J': 0.5038018150600932, 'F': 0.4961981849399068}","{'J': 0.4074619538537064, 'F': 0.5925380461462936}",6.8,6.0,6.0,7.0,8.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
9,J,F,49.53666120050112,55.88147047821551,"{'J': 0.5428220858895706, 'F': 0.45717791411042946}","{'J': 0.44556402064389283, 'F': 0.5544359793561071}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
10,J,F,55.23558224022648,62.23420177671824,"{'J': 0.5544117647058824, 'F': 0.4455882352941177}","{'J': 0.46101029916625796, 'F': 0.538989700833742}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
