round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.04177942284563,7.086637116998018,"{'J': 0.6858958689806893, 'F': 0.3141041310193107}","{'J': 0.25091619838749085, 'F': 0.7490838016125092}",4.6,4.4,4.0,3.0,6.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
2,J,F,9.429163432593498,13.718237819286921,"{'J': 0.6000978952520802, 'F': 0.3999021047479197}","{'J': 0.42235265346050377, 'F': 0.5776473465394962}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
3,J,F,14.588631262114898,20.30530225888254,"{'J': 0.5888970408412815, 'F': 0.41110295915871853}","{'J': 0.3849546679735359, 'F': 0.615045332026464}",4.4,4.4,4.0,3.0,5.0,8.0,2.0,4.0,3.0,5.0,8.0,2.0
4,J,F,19.89422939981336,26.882234050176663,"{'J': 0.5889540566959922, 'F': 0.41104594330400784}","{'J': 0.4073349633251834, 'F': 0.5926650366748166}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
5,J,F,25.260315053256058,33.69749622313266,"{'J': 0.6334310850439883, 'F': 0.36656891495601174}","{'J': 0.42640586797066016, 'F': 0.5735941320293398}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
6,J,F,30.75020964193425,40.65013126700073,"{'J': 0.6583516752262166, 'F': 0.3416483247737833}","{'J': 0.4493887530562347, 'F': 0.5506112469437653}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
7,J,F,36.19927006285763,47.66215824823599,"{'J': 0.6687866927592955, 'F': 0.3312133072407045}","{'J': 0.44550575557188343, 'F': 0.5544942444281166}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
8,J,F,41.92140249401499,54.67563755134571,"{'J': 0.6689486552567238, 'F': 0.3310513447432763}","{'J': 0.4844705306921008, 'F': 0.5155294693078992}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
9,J,F,47.696530887265176,62.024867191844606,"{'J': 0.7248716067498165, 'F': 0.2751283932501834}","{'J': 0.5, 'F': 0.5}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
10,J,F,53.30390441710084,69.05804958439566,"{'J': 0.6723758257890874, 'F': 0.32762417421091267}","{'J': 0.46868884540117417, 'F': 0.5313111545988258}",4.4,4.2,4.0,3.0,5.0,8.0,2.0,4.0,3.0,4.0,8.0,2.0
