round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.516405929736009,7.209015902713272,"{'J': 0.7089294523926986, 'F': 0.29107054760730144}","{'J': 0.32427088482451805, 'F': 0.675729115175482}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
2,J,F,9.781993645275644,14.40877900784253,"{'J': 0.7026095519448547, 'F': 0.29739044805514525}","{'J': 0.42629878200348, 'F': 0.57370121799652}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
3,J,F,14.796245240635969,21.805646955440615,"{'J': 0.7401768172888016, 'F': 0.2598231827111984}","{'J': 0.3998030526834072, 'F': 0.6001969473165928}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
4,J,F,20.076106885747134,29.06045512813949,"{'J': 0.7123220422189495, 'F': 0.28767795778105054}","{'J': 0.4301868239921337, 'F': 0.5698131760078663}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
5,J,F,25.177456320998992,36.25523965938735,"{'J': 0.7025967662910338, 'F': 0.2974032337089662}","{'J': 0.40353460972017674, 'F': 0.5964653902798233}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
6,J,F,30.43879914955909,43.4722383027576,"{'J': 0.705709384954668, 'F': 0.29429061504533205}","{'J': 0.4263299828389311, 'F': 0.5736700171610689}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
7,J,F,35.696465518409425,50.70737390525926,"{'J': 0.7089661930426262, 'F': 0.29103380695737385}","{'J': 0.4264705882352941, 'F': 0.5735294117647058}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
8,J,F,40.9314681161119,57.81375078378299,"{'J': 0.6859666339548577, 'F': 0.3140333660451423}","{'J': 0.41862745098039217, 'F': 0.5813725490196079}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
9,J,F,46.15197221734185,64.97504799432002,"{'J': 0.6959293771456596, 'F': 0.3040706228543404}","{'J': 0.41867321867321866, 'F': 0.5813267813267813}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
10,J,F,51.25303103176396,72.07924512295725,"{'J': 0.6859666339548577, 'F': 0.3140333660451423}","{'J': 0.39980401763841256, 'F': 0.6001959823615874}",6.0,6.0,6.0,4.0,7.0,8.0,5.0,6.0,4.0,7.0,8.0,5.0
