round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,J,7.035148968710278,3.384421408261174,"{'J': 0.1540903540903541, 'F': 0.8459096459096459}","{'J': 0.6756228627259404, 'F': 0.3243771372740596}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,4.0,6.0,7.0,8.0,5.0
2,J,J,13.560516210631242,9.749026373123746,"{'J': 0.5697532372343025, 'F': 0.4302467627656975}","{'J': 0.5927192768140728, 'F': 0.4072807231859272}",6.4,6.4,6.0,7.0,6.0,8.0,5.0,6.0,7.0,6.0,8.0,5.0
3,F,F,19.198405082233123,14.655910435430966,"{'J': 0.2657856093979442, 'F': 0.7342143906020558}","{'J': 0.3702148678686095, 'F': 0.6297851321313904}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
4,F,F,25.103595021534353,20.236843635721137,"{'J': 0.42255933447516514, 'F': 0.5774406655248349}","{'J': 0.46888172576245973, 'F': 0.5311182742375403}",5.2,6.0,4.0,6.0,5.0,8.0,3.0,6.0,5.0,7.0,8.0,4.0
5,J,J,31.143194422938752,26.276335596889165,"{'J': 0.5078277886497065, 'F': 0.49217221135029354}","{'J': 0.5078431372549019, 'F': 0.492156862745098}",6.4,6.0,6.0,7.0,6.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
6,F,F,36.9392785144585,31.805400803522225,"{'J': 0.40738928309273303, 'F': 0.592610716907267}","{'J': 0.44553483807654565, 'F': 0.5544651619234544}",6.0,5.8,4.0,6.0,7.0,8.0,5.0,6.0,5.0,6.0,8.0,4.0
7,F,F,42.74574377399483,37.55733850357856,"{'J': 0.44933920704845814, 'F': 0.5506607929515418}","{'J': 0.45712885840274375, 'F': 0.5428711415972562}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
8,F,F,48.60521091305904,43.36203055757829,"{'J': 0.4610485056344929, 'F': 0.5389514943655072}","{'J': 0.4688735177865613, 'F': 0.5311264822134387}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
9,F,F,54.55258735229053,49.038863195825726,"{'J': 0.44172380019588636, 'F': 0.5582761998041136}","{'J': 0.4803729146221786, 'F': 0.5196270853778214}",6.4,6.0,6.0,7.0,6.0,8.0,5.0,6.0,5.0,7.0,8.0,4.0
10,F,F,60.54503297003533,54.7049304799405,"{'J': 0.44172380019588636, 'F': 0.5582761998041136}","{'J': 0.48834927642874665, 'F': 0.5116507235712534}",5.2,5.8,4.0,6.0,5.0,8.0,3.0,6.0,5.0,6.0,8.0,4.0
