round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,F,J,6.6728084509540695,4.424818889872716,"{'J': 0.2751776525361431, 'F': 0.7248223474638569}","{'J': 0.596319018404908, 'F': 0.403680981595092}",5.2,5.2,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
2,F,J,13.237988282209288,10.20433722814937,"{'J': 0.4805194805194805, 'F': 0.5194805194805194}","{'J': 0.5927568366592757, 'F': 0.4072431633407243}",5.8,5.8,6.0,5.0,6.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
3,F,J,19.681640921965233,15.64225587221225,"{'J': 0.4224730127576055, 'F': 0.5775269872423945}","{'J': 0.5661492978566149, 'F': 0.43385070214338506}",5.8,5.6,6.0,5.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
4,F,J,26.37875591034047,21.370031775886748,"{'J': 0.4764936336924584, 'F': 0.5235063663075417}","{'J': 0.6149706457925636, 'F': 0.3850293542074364}",5.2,5.4,6.0,4.0,5.0,8.0,3.0,6.0,4.0,5.0,8.0,4.0
5,J,J,33.30453704637921,27.566185335286796,"{'J': 0.5506607929515418, 'F': 0.44933920704845814}","{'J': 0.6548933038999264, 'F': 0.3451066961000736}",5.8,5.6,6.0,5.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
6,J,J,40.407125198326106,33.90680856740078,"{'J': 0.5737383635472807, 'F': 0.42626163645271925}","{'J': 0.6825904949519823, 'F': 0.31740950504801774}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
7,J,J,47.30651552055897,40.396489715365114,"{'J': 0.5927923510664379, 'F': 0.40720764893356215}","{'J': 0.6513222331047992, 'F': 0.3486777668952008}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
8,J,J,54.27516662219512,46.959377181111826,"{'J': 0.6039676708302718, 'F': 0.39603232916972814}","{'J': 0.6619339045287638, 'F': 0.3380660954712362}",6.4,5.8,6.0,7.0,6.0,8.0,5.0,6.0,5.0,6.0,8.0,4.0
9,J,J,61.036362876304025,53.38072980975955,"{'J': 0.5813097866077999, 'F': 0.41869021339220014}","{'J': 0.6298588759593959, 'F': 0.3701411240406041}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
10,J,J,67.54784444858481,59.59610302695523,"{'J': 0.5465686274509803, 'F': 0.4534313725490196}","{'J': 0.5888698210345673, 'F': 0.4111301789654327}",6.0,6.0,6.0,5.0,7.0,8.0,4.0,6.0,5.0,7.0,8.0,4.0
