round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,5.154891116209798,7.997626158944841,"{'J': 0.843956043956044, 'F': 0.15604395604395604}","{'J': 0.43785103785103785, 'F': 0.5621489621489622}",6.0,5.2,4.0,6.0,7.0,8.0,5.0,6.0,4.0,5.0,8.0,3.0
2,J,F,10.563358141323505,14.46341579572707,"{'J': 0.5697532372343025, 'F': 0.4302467627656975}","{'J': 0.4187071498530852, 'F': 0.5812928501469148}",5.6,6.0,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,5.0
3,J,F,16.05383685682728,21.416081317691784,"{'J': 0.658357771260997, 'F': 0.3416422287390029}","{'J': 0.44947394176657696, 'F': 0.550526058233423}",5.6,5.8,4.0,6.0,7.0,8.0,3.0,6.0,5.0,6.0,8.0,4.0
4,J,F,21.47652547547596,28.10703019710563,"{'J': 0.6112875641338871, 'F': 0.38871243586611287}","{'J': 0.43010752688172044, 'F': 0.5698924731182796}",6.0,5.8,6.0,5.0,7.0,8.0,4.0,6.0,5.0,6.0,8.0,4.0
5,J,F,27.029115800277694,35.139897508174116,"{'J': 0.6723674566332764, 'F': 0.32763254336672365}","{'J': 0.4608993157380254, 'F': 0.5391006842619745}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
6,J,F,32.5634189051675,42.011317791044476,"{'J': 0.6441837732160313, 'F': 0.35581622678396874}","{'J': 0.4531670335045243, 'F': 0.5468329664954756}",6.0,5.2,6.0,5.0,7.0,8.0,4.0,4.0,5.0,6.0,8.0,3.0
7,J,F,37.987746007108214,48.600316283163544,"{'J': 0.5927192768140728, 'F': 0.4072807231859272}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",5.6,5.6,4.0,6.0,7.0,8.0,3.0,4.0,6.0,7.0,8.0,3.0
8,J,F,43.53324842184674,55.09690987353429,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.44170129552676607, 'F': 0.5582987044732339}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
9,J,F,49.07474653253801,61.82406501195214,"{'J': 0.6187683284457478, 'F': 0.3812316715542522}","{'J': 0.4493887530562347, 'F': 0.5506112469437653}",5.6,5.2,4.0,6.0,7.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
10,J,F,54.35562734399423,68.32195079983738,"{'J': 0.5736623503542634, 'F': 0.4263376496457366}","{'J': 0.3998044965786901, 'F': 0.6001955034213099}",5.2,5.2,4.0,5.0,6.0,8.0,3.0,4.0,5.0,6.0,8.0,3.0
