round,action_A,action_B,points_A,points_B,probs_A,probs_B,qualitative_scores_A,qualitative_scores_B,T_A,C_A,CS_A,R_A,S_A,T_B,C_B,CS_B,R_B,S_B
1,J,F,4.864997213753516,7.2562844739731585,"{'J': 0.7155425219941349, 'F': 0.2844574780058651}","{'J': 0.37393005624847153, 'F': 0.6260699437515285}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,7.0,8.0,3.0
2,J,F,10.338707116974305,13.945521128929213,"{'J': 0.6114369501466276, 'F': 0.3885630498533724}","{'J': 0.43779027132730386, 'F': 0.5622097286726961}",5.6,5.2,6.0,4.0,7.0,8.0,3.0,6.0,4.0,5.0,8.0,3.0
3,J,F,15.573706139337961,20.958049463939776,"{'J': 0.6689486552567238, 'F': 0.3310513447432763}","{'J': 0.41501589630716557, 'F': 0.5849841036928344}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,7.0,8.0,3.0
4,J,F,20.801767406639044,27.400392091216016,"{'J': 0.5620723362658846, 'F': 0.43792766373411535}","{'J': 0.38860357055514794, 'F': 0.6113964294448521}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
5,J,F,25.867268455814315,34.12841024066328,"{'J': 0.6150085553654363, 'F': 0.3849914446345637}","{'J': 0.37750611246943766, 'F': 0.6224938875305623}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
6,J,F,30.90692157702333,40.47611183295764,"{'J': 0.5391006842619745, 'F': 0.4608993157380254}","{'J': 0.35223661696406744, 'F': 0.6477633830359325}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,6.0,8.0,4.0
7,J,F,36.101161063904605,47.10013737892622,"{'J': 0.5964311904179908, 'F': 0.4035688095820093}","{'J': 0.3921760391198044, 'F': 0.6078239608801956}",5.2,5.6,6.0,4.0,5.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
8,J,F,41.41262071144626,53.65656125410335,"{'J': 0.5851869958445368, 'F': 0.41481300415546324}","{'J': 0.4073349633251834, 'F': 0.5926650366748166}",5.6,5.6,6.0,4.0,7.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
9,J,F,46.543073742054304,60.1874717417449,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.37750611246943766, 'F': 0.6224938875305623}",5.6,5.6,6.0,4.0,6.0,8.0,4.0,6.0,4.0,7.0,8.0,3.0
10,J,F,51.735263876532805,66.67320670246956,"{'J': 0.5698214722426022, 'F': 0.4301785277573979}","{'J': 0.3850293542074364, 'F': 0.6149706457925636}",5.2,5.6,6.0,4.0,5.0,8.0,3.0,6.0,4.0,6.0,8.0,4.0
