round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,0.7693517839687195,1.462136485826002,"{'J': 0.7057673509286413, 'F': 0.29423264907135877}","{'J': 0.640625, 'F': 0.359375}",6.0,5.6
2,F,J,1.78200026591439,2.4062111230492986,"{'J': 0.4073349633251834, 'F': 0.5926650366748166}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",4.6,4.0
3,F,J,2.8261862357980765,3.3139840315471076,"{'J': 0.3812316715542522, 'F': 0.6187683284457478}","{'J': 0.550561797752809, 'F': 0.449438202247191}",4.6,5.2
4,F,J,3.8239478531816946,4.295842080086615,"{'J': 0.44539457610554606, 'F': 0.554605423894454}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",4.2,4.8
5,F,J,4.744927386719254,5.363815006256463,"{'J': 0.48448570730515517, 'F': 0.5155142926948448}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",4.4,6.2
6,J,J,5.610576566478776,6.521133419441053,"{'J': 0.5234604105571847, 'F': 0.47653958944281527}","{'J': 0.6223742061553493, 'F': 0.3776257938446507}",4.2,5.0
7,F,J,6.658975118531561,7.45413149495425,"{'J': 0.4149560117302053, 'F': 0.5850439882697948}","{'J': 0.52734375, 'F': 0.47265625}",4.6,5.4
8,J,J,7.537977373265805,8.595236012765648,"{'J': 0.5233325189347666, 'F': 0.4766674810652333}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",3.6,5.4
9,F,J,8.491635588981191,9.634349159574862,"{'J': 0.48448570730515517, 'F': 0.5155142926948448}","{'J': 0.5582417582417583, 'F': 0.44175824175824174}",4.8,5.4
10,J,J,9.361759114698268,10.789510558996154,"{'J': 0.5274725274725275, 'F': 0.4725274725274725}","{'J': 0.6150464093795799, 'F': 0.3849535906204201}",4.8,5.0
