round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,1.101758408709446,0.8301414082209264,"{'J': 0.31753786028334147, 'F': 0.6824621397166585}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",4.4,2.8
2,F,J,2.0238897391514357,1.796239519317533,"{'J': 0.39228138739618956, 'F': 0.6077186126038104}","{'J': 0.6297020029311187, 'F': 0.3702979970688813}",4.6,4.0
3,F,J,3.0937045251362267,2.6391065041483674,"{'J': 0.3243771372740596, 'F': 0.6756228627259404}","{'J': 0.5621489621489622, 'F': 0.43785103785103785}",3.4,3.0
4,F,J,4.126797831569377,3.484008943289088,"{'J': 0.32080078125, 'F': 0.67919921875}","{'J': 0.5851037851037851, 'F': 0.4148962148962149}",1.8,3.2
5,F,J,5.155284440222082,4.325593250530455,"{'J': 0.31753786028334147, 'F': 0.6824621397166585}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",1.8,4.4
6,F,J,6.2084631889553,5.142670088906756,"{'J': 0.3006105006105006, 'F': 0.6993894993894993}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",3.4,3.4
7,F,J,7.274610724794205,5.934269505546832,"{'J': 0.28138739618954567, 'F': 0.7186126038104543}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",4.2,3.4
8,F,J,8.420516254969398,6.688746738675751,"{'J': 0.2537240537240537, 'F': 0.7462759462759463}","{'J': 0.550561797752809, 'F': 0.449438202247191}",3.4,3.8
9,F,J,9.536816420426538,7.466014173307293,"{'J': 0.2721055202735711, 'F': 0.727894479726429}","{'J': 0.5583781143136297, 'F': 0.4416218856863703}",3.8,4.0
10,F,J,10.743298881134695,8.229645754232475,"{'J': 0.2628236443575965, 'F': 0.7371763556424035}","{'J': 0.5157509157509158, 'F': 0.48424908424908425}",3.8,1.4
