round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.6407676384824685,1.6725326438755217,"{'J': 0.34864402638651354, 'F': 0.6513559736134864}","{'J': 0.33805569125549584, 'F': 0.6619443087445042}",5.8,5.2
2,F,F,3.1955391438588125,3.1920218911873497,"{'J': 0.45698924731182794, 'F': 0.543010752688172}","{'J': 0.46875, 'F': 0.53125}",4.4,4.2
3,F,F,4.761569023214368,4.7231251732975545,"{'J': 0.4456123197262283, 'F': 0.5543876802737717}","{'J': 0.4572545188080117, 'F': 0.5427454811919883}",4.0,4.4
4,F,F,6.343169001841627,6.235059558983925,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.46484375, 'F': 0.53515625}",5.6,5.4
5,F,F,7.9054876709107695,7.739056474449353,"{'J': 0.4571219154654288, 'F': 0.5428780845345712}","{'J': 0.4765625, 'F': 0.5234375}",6.2,4.8
6,F,F,9.452181339979912,9.274303389914781,"{'J': 0.4571219154654288, 'F': 0.5428780845345712}","{'J': 0.4609375, 'F': 0.5390625}",6.0,4.0
7,F,F,10.975403151609523,10.786129984099976,"{'J': 0.4805765941851942, 'F': 0.5194234058148057}","{'J': 0.484375, 'F': 0.515625}",5.0,3.4
8,F,F,12.545404586502237,12.263034028558382,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.49206349206349204, 'F': 0.5079365079365079}",5.4,6.0
9,F,F,14.127135269967589,13.739934254591272,"{'J': 0.45321280234546785, 'F': 0.5467871976545321}","{'J': 0.48815628815628814, 'F': 0.5118437118437118}",5.6,3.8
10,F,F,15.689436760316966,15.208783509416584,"{'J': 0.46884925482531153, 'F': 0.5311507451746885}","{'J': 0.5, 'F': 0.5}",5.4,3.8
