round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,1.843391155631566,1.4783777180552162,"{'J': 0.2782799902272172, 'F': 0.7217200097727828}","{'J': 0.39995113608600047, 'F': 0.6000488639139995}",2.0,2.6
2,J,F,3.284740129238604,3.060489155005363,"{'J': 0.5117302052785924, 'F': 0.48826979472140764}","{'J': 0.46480938416422285, 'F': 0.5351906158357771}",1.8,1.4
3,F,F,4.877399599410474,4.618998129596847,"{'J': 0.41872402835492545, 'F': 0.5812759716450746}","{'J': 0.43010752688172044, 'F': 0.5698924731182796}",3.6,1.2
4,F,F,6.512099712406767,6.138891474858231,"{'J': 0.4035688095820093, 'F': 0.5964311904179908}","{'J': 0.4418377321603128, 'F': 0.5581622678396871}",1.8,1.8
5,F,F,8.109309419194613,7.607881929382197,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.48826979472140764, 'F': 0.5117302052785924}",2.0,2.2
6,F,J,9.729852601156836,9.041929908398643,"{'J': 0.4416218856863703, 'F': 0.5583781143136297}","{'J': 0.5037869533349622, 'F': 0.49621304666503785}",1.4,3.0
7,F,F,11.401333091992164,10.555273912065228,"{'J': 0.3812316715542522, 'F': 0.6187683284457478}","{'J': 0.43394383394383396, 'F': 0.566056166056166}",4.4,2.0
8,F,F,13.021134005558775,12.047963242723897,"{'J': 0.4225696140693698, 'F': 0.5774303859306302}","{'J': 0.4649401417053506, 'F': 0.5350598582946494}",3.4,1.6
9,F,F,14.700831049291978,13.522431847659153,"{'J': 0.38871243586611287, 'F': 0.6112875641338871}","{'J': 0.4571219154654288, 'F': 0.5428780845345712}",3.2,1.4
10,F,F,16.38443720614514,14.989082226354487,"{'J': 0.38871243586611287, 'F': 0.6112875641338871}","{'J': 0.4610310285853897, 'F': 0.5389689714146103}",1.8,1.8
