round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,J,-0.1792451867702295,-0.5592550132496382,"{'J': 0.4649401417053506, 'F': 0.5350598582946494}","{'J': 0.654945054945055, 'F': 0.34505494505494505}",5.8,5.2
2,J,J,-0.27358806001420166,-0.8548188877146116,"{'J': 0.6334554334554334, 'F': 0.3665445665445665}","{'J': 0.734065934065934, 'F': 0.26593406593406593}",5.8,5.6
3,F,J,-0.6145832227853189,-1.5055355942082496,"{'J': 0.41866145578895947, 'F': 0.5813385442110406}","{'J': 0.5735222276502199, 'F': 0.4264777723497802}",4.6,5.4
4,F,J,-0.8719572583047881,-2.101942360553317,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.6150464093795799, 'F': 0.3849535906204201}",4.8,5.2
5,F,J,-1.1721499820441654,-2.8249054746253712,"{'J': 0.3776257938446507, 'F': 0.6223742061553493}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",5.8,5.6
6,F,J,-1.437859705775867,-3.483777591519466,"{'J': 0.41098901098901097, 'F': 0.589010989010989}","{'J': 0.6075702075702075, 'F': 0.3924297924297924}",5.6,5.2
7,F,J,-1.746183952415132,-4.214568260625153,"{'J': 0.3738705738705739, 'F': 0.6261294261294261}","{'J': 0.5851037851037851, 'F': 0.4148962148962149}",5.6,5.4
8,F,J,-2.009342104581589,-4.8252537809345135,"{'J': 0.43771372740595993, 'F': 0.5622862725940401}","{'J': 0.6114774114774115, 'F': 0.38852258852258853}",5.4,5.6
9,F,J,-2.3216232772438072,-5.424496843685148,"{'J': 0.44553004396678064, 'F': 0.5544699560332194}","{'J': 0.589010989010989, 'F': 0.41098901098901097}",5.2,5.0
10,F,J,-2.6242577025597336,-6.044245076919679,"{'J': 0.4340175953079179, 'F': 0.5659824046920822}","{'J': 0.5925744992672203, 'F': 0.40742550073277967}",4.8,6.0
