round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,F,F,-1.5884765356715431,-1.7008261879204278,"{'J': 0.06465596190243604, 'F': 0.935344038097564}","{'J': 0.12083078802687844, 'F': 0.8791692119731216}",1.0,1.0
2,J,J,-1.9963538809200467,-2.171249343088306,"{'J': 0.5155142926948448, 'F': 0.48448570730515517}","{'J': 0.5467871976545321, 'F': 0.45321280234546785}",1.0,1.0
3,F,F,-2.6234792493240002,-2.859238810253224,"{'J': 0.4111898363058881, 'F': 0.5888101636941119}","{'J': 0.4416218856863703, 'F': 0.5583781143136297}",1.0,1.0
4,F,F,-3.1949675493766,-3.4075338189130218,"{'J': 0.4766674810652333, 'F': 0.5233325189347666}","{'J': 0.4650708353688324, 'F': 0.5349291646311676}",1.4,1.0
5,F,F,-3.7348726115551245,-3.96307533357139,"{'J': 0.47275836794527243, 'F': 0.5272416320547276}","{'J': 0.4805765941851942, 'F': 0.5194234058148057}",2.0,1.8
6,F,F,-4.258718249352198,-4.5184515701854595,"{'J': 0.4726295210166178, 'F': 0.5273704789833822}","{'J': 0.48839482042511606, 'F': 0.5116051795748839}",1.0,1.8
7,F,F,-4.8232121675144555,-5.091025229669895,"{'J': 0.46480938416422285, 'F': 0.5351906158357771}","{'J': 0.46884925482531153, 'F': 0.5311507451746885}",2.0,1.0
8,F,F,-5.330814756215502,-5.598627818370941,"{'J': 0.49621304666503785, 'F': 0.5037869533349622}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",2.0,1.8
9,J,J,-5.799903674630733,-6.091171415505937,"{'J': 0.5037869533349622, 'F': 0.49621304666503785}","{'J': 0.5155142926948448, 'F': 0.48448570730515517}",1.0,1.8
10,F,F,-6.400384098137094,-6.745682526792188,"{'J': 0.426197458455523, 'F': 0.5738025415444771}","{'J': 0.45321280234546785, 'F': 0.5467871976545321}",2.0,2.0
