round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,J,6.161575939423074,6.161575939423074,"{'J': 0.5311507451746885, 'F': 0.46884925482531153}","{'J': 0.5311507451746885, 'F': 0.46884925482531153}",2.0,1.6
2,J,J,12.289156061229482,12.398611228588388,"{'J': 0.5428780845345712, 'F': 0.4571219154654288}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",1.8,3.4
3,F,F,18.19224298977451,18.193872622188408,"{'J': 0.4610310285853897, 'F': 0.5389689714146103}","{'J': 0.4764346764346764, 'F': 0.5235653235653236}",3.8,2.8
4,J,J,24.296298592291652,24.270577797355124,"{'J': 0.5157509157509158, 'F': 0.48424908424908425}","{'J': 0.5196581196581197, 'F': 0.48034188034188036}",3.6,2.0
5,F,J,30.320474416467476,30.26654849332582,"{'J': 0.5, 'F': 0.5}","{'J': 0.504029304029304, 'F': 0.495970695970696}",4.0,3.4
6,F,J,36.37565204307367,36.21061500882091,"{'J': 0.49206349206349204, 'F': 0.5079365079365079}","{'J': 0.5079365079365079, 'F': 0.49206349206349204}",1.2,1.8
7,J,J,42.439341792477705,42.246954330874516,"{'J': 0.5079365079365079, 'F': 0.49206349206349204}","{'J': 0.5118437118437118, 'F': 0.48815628815628814}",3.8,2.4
8,J,J,48.567209870675455,48.32012155437141,"{'J': 0.5157509157509158, 'F': 0.48424908424908425}","{'J': 0.5235653235653236, 'F': 0.4764346764346764}",2.8,1.8
9,F,F,54.544488150665686,54.32390850770637,"{'J': 0.5, 'F': 0.5}","{'J': 0.49621304666503785, 'F': 0.5037869533349622}",4.0,1.2
10,J,J,60.78800154104788,60.59477900605144,"{'J': 0.550561797752809, 'F': 0.449438202247191}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",4.2,1.8
