round,action_A,action_B,points_A,points_B,probs_A,probs_B,T_A,T_B
1,J,F,5.203081136601143,7.441781356488756,"{'J': 0.7461519667725385, 'F': 0.2538480332274615}","{'J': 0.4263376496457366, 'F': 0.5736623503542634}",6.6,7.8
2,F,J,11.87675948962439,12.819803564282392,"{'J': 0.4226248775710088, 'F': 0.5773751224289911}","{'J': 0.6077186126038104, 'F': 0.39228138739618956}",7.0,8.8
3,J,J,17.937736994900558,19.5475468578894,"{'J': 0.6224938875305623, 'F': 0.37750611246943766}","{'J': 0.5272416320547276, 'F': 0.47275836794527243}",7.6,8.0
4,J,F,23.834663942708133,25.60952473650133,"{'J': 0.5078277886497065, 'F': 0.49217221135029354}","{'J': 0.48424908424908425, 'F': 0.5157509157509158}",7.8,7.0
5,J,J,30.08926570690977,31.783691676197208,"{'J': 0.5351629502572899, 'F': 0.4648370497427101}","{'J': 0.5466536394723986, 'F': 0.45334636052760136}",7.6,7.8
6,F,F,35.957275374065915,37.543236463275036,"{'J': 0.4532550171316691, 'F': 0.5467449828683308}","{'J': 0.46875, 'F': 0.53125}",8.4,7.0
7,J,J,42.32860880380558,44.940775737411776,"{'J': 0.7279393791249084, 'F': 0.27206062087509164}","{'J': 0.5813385442110406, 'F': 0.41866145578895947}",8.6,8.4
8,F,J,48.37622785142463,50.93283922947527,"{'J': 0.5, 'F': 0.5}","{'J': 0.5079365079365079, 'F': 0.49206349206349204}",8.4,7.0
9,J,J,54.66084860701313,57.76775449342279,"{'J': 0.6407624633431085, 'F': 0.3592375366568915}","{'J': 0.5621489621489622, 'F': 0.43785103785103785}",8.6,6.4
10,J,J,60.63459007037101,64.22894064554468,"{'J': 0.5775714634742243, 'F': 0.4224285365257757}","{'J': 0.5079365079365079, 'F': 0.49206349206349204}",6.6,8.2
